3302,1910,7911
5101,7954,11120
14531,8831,13593
17753,16841,13903
1743,15222,12142
14029,8765,664
8559,14574,8389
12470,1151,18957
17111,5024,3734
10734,8651,15469
11347,4932,7365
19403,19123,16618
13795,6761,12068
196,198,18185
16951,443,155
18148,2938,10097
16065,3090,6632
10959,6790,70
14082,19304,14558
5760,1138,18261
17024,18062,7010
17404,7861,4957
4684,18329,9162
11711,8330,15758
11,15144,17221
12135,9411,17163
11918,16948,17249
13691,14729,4544
2967,8299,2078
17557,8981,10152
15217,1884,6904
9639,8174,11265
4872,10461,17808
17168,14868,105
13751,15604,6472
31,19522,15356
6247,15838,13048
11895,12311,5503
11209,17701,17158
9358,4149,7671
18484,19736,4992
18373,3341,4852
11945,5393,12518
2784,6994,19491
10338,16701,14543
10018,18989,19878
12856,591,8671
18646,13717,15912
19667,18717,17172
11092,3615,13505
2396,11725,3518
14441,2462,10924
18629,8514,13237
4247,17271,8668
7642,10573,18871
19704,12580,119
3051,6248,1543
7280,3734,15133
11276,15482,15228
13996,17055,3613
7132,8724,11108
5518,13777,17133
5840,1947,619
17542,8725,12629
14733,3726,14239
8330,16309,5896
10177,17805,16998
12221,11015,7886
16811,14589,17164
7055,1335,15993
3981,12290,1300
997,2027,7308
15096,13710,19027
15264,10217,14957
15159,7111,16993
12907,15613,3954
16567,14372,17567
8249,12902,4211
17034,15704,2635
16317,5736,17462
19676,6716,6500
15507,5015,6706
1265,1173,15966
12616,19499,11403
9640,14540,8408
3657,16466,18293
3884,8547,17786
9876,12325,5212
2482,10442,12525
7583,5592,5779
4631,3026,14868
13550,6500,19271
8353,1151,16962
17510,557,3690
4686,5986,17402
11566,9860,10838
3283,16213,14253
14187,17705,14311
5216,1764,4464
8765,14988,19259
5289,11961,5728
4782,5856,6745
19973,12837,7122
19814,16758,4220
13782,15865,7108
14856,13696,4977
1760,10946,5759
10647,5087,12034
11799,9092,13103
18773,11150,19903
11710,13034,16752
10058,6965,15408
309,2514,14256
15309,1593,2511
16393,18428,4606
2333,11751,8052
12078,15822,10444
12865,10703,15552
18839,3374,2836
11607,9323,15203
14401,14495,6344
19664,9498,15981
17737,6885,19577
6886,7670,15298
16308,11051,1419
4402,17576,7575
10009,8343,16930
5297,19271,5637
17258,9009,10646
11962,8437,12209
10217,10617,3570
7255,1975,2747
13768,14779,7774
11633,12225,3741
3725,8560,8017
1802,7264,7670
17254,16046,11573
10618,13924,2616
11056,19809,16558
3319,13208,17327
9095,1719,1423
8287,16644,3469
11621,11122,9115
3231,5256,12712
4693,9716,12314
4896,9325,7868
19240,19787,12387
16343,8812,2482
10755,9525,19715
3888,198,3139
564,19498,8447
19464,8158,14488
7475,9304,9605
9775,4816,17329
13307,6689,14927
63,13441,16539
